latitude,longitude
556350.787,421358.933
507263.544,440951.137
520128.816,436640.087
524190.855,411646.482
568290.625,425487.274
528370.686,391084.862
569686.222,433532.383
549863.065,410603.005
522195.924,401285.558
523571.936,433061.487
559116.512,413328.305
531565.121,436874.789
523280.167,415643.519
533035.958,440190.579
514236.021,401482.478
516659.806,397954.921
541563.031,436484.672
531055.415,430670.01
505621.525,453473.297
637594.067,391226.093
538118.992,425575.64
527536.66,437252.563
523479.432,397346.442
547603.134,428494.042
513775.233,408930.106
516198.273,410574.219
515448.27,422706.043
515767.118,437016.094
511603.95,435832.771
522995.419,420890.371
530748.998,417146.901
545369.427,420255.396
516133.134,426366.112
522501.007,451016.465
505911.383,447865.512
534155.859,424012.654
529388.748,414097.104
522901.654,440709.425
548913.928,422561.341
543303.416,412214.72
538763.302,405925.858
514915.666,474351.831
510142.289,425659.46
503399.717,444496.231
510280.66,441583.169
538198.474,430380.977
510175.128,431943.11
544865.99,416628.318
566117.377,425949.27
642132.083,397245.045
541311.702,438567.983
567532.271,430595.533
546824.192,411980.193
522401.554,456121.379
517073.062,405799.693
518067.465,405676.933
515208.962,404929.402
519409.368,406800.605
516863.437,402334.037
501271.959,448733.648
513400.559,412413.747
517466.041,417367.14
515273.232,415104.057
517703.783,415683.158
501050.41,445219.696
499683.284,450886.645
508126.925,444075.293
503132.108,449791.653
503412.506,450928.251
510233.925,450030.268
509233.112,460559.977
502412.171,445942.011
507975.425,457622.724
510807.571,456088.382
520475.173,393385.929
586716.292,426474.439
512671.819,429670.114
514303.157,431392.549
514799.459,427720.861
515338.396,429978.288
514312.526,424666.265
514237.572,426786.325
516136.113,426355.391
520408.872,425232.174
513213.948,427691.112
519453.513,428995.742
515221.311,429146.727
512026.632,428361.4
514186.921,430178.139
515093.315,426550.239
529319.613,428570.321
563687.668,415072.01
563612.853,415551.217
516667.23,430206.084
515290.637,428679.691
514080.435,427813.964
513781.399,429201.093
571531.375,390956.017
569514.469,421695.954
567206.951,417182.053
533491.929,426790.305
515458.102,428102.876
516264.824,429135.874
516826.006,427292.223
518298.495,432357.908
518371.986,427431.476
517843.623,431565.994
513751.427,433075.746
515792.513,432706.681
513498.588,431221.388
520598.618,451650.488
518169.359,442495.901
515929.657,450991.195
515214.851,431246.1
514610.146,442308.947
514093.622,449309.349
529696.225,428931.734
563109.745,423316.166
550147.191,409263.92
513496.032,447222.121
514825.392,448862.049
519112.737,449772.027
520527.653,439727.41
516731.863,440494.137
516378.521,431102.265
517111.196,432368.837
517402.277,439696.557
519977.008,442062.541
518651.596,448837.323
517817.928,445322.736
516831.873,450360.55
517639.834,450110.565
520198.981,443715.882
517069.105,445497.25
512067.483,443254.702
514273.629,446097.069
518048.446,449560.624
519476.688,445240.163
515813.678,445032.885
513815.635,444915.07
519541.435,443019.697
518755.194,445301.855
518144.778,441789.778
520435.751,444860.15
515540.313,447790.346
514884.916,450598.561
511378.725,441438.123
518035.088,443318.965
517924.199,446860.525
519722.584,440895.018
518724.952,449397.08
518605.776,441289.413
516825.09,444004.725
516672.507,447828.365
519920.047,446512.696
518900.861,446719.391
513340.249,450510.935
518120.113,444739.409
518847.74,451141.584
516266.98,453353.145
513970.412,451584.338
517290.157,453684.129
572582.821,423394.577
565302.875,433206.773
516067.996,444039.311
515393.188,446555.831
516767.533,442318.253
519377.306,448439.205
562647.574,421066.421
517886.186,447610.68
518463.081,443723.52
518767.235,448037.276
516132.275,445833.525
513291.821,444038.013
511792.095,450667.454
515544.87,449313.041
516655.601,446351.143
518913.628,454395.64
519607.09,453993.948
517405.859,454659.98
518932.086,455163.1
519095.009,450452.37
520002.855,452572.971
518298.693,453127.959
519661.95,455341.136
518932.284,451931.899
513412.092,467702.088
520639.729,463347.375
519168.094,444276.598
526728.298,422390.345
519359.379,457410.011
517938.609,449918.425
517217.403,448365.126
512594.711,452327.432
512771.387,441855.668
514441.593,459378.068
517848.126,451760.903
519283.85,452698.282
514860.32,452986.509
515265.927,451999.711
513782.068,456636.354
515854.677,460563.432
516115.451,460497.713
518351.383,472133.91
519658.717,471260.304
516159.359,471407.017
529875.239,418756.982
530417.634,420985.776
528616.039,417931.285
527921.614,420217.821
525720.588,421045.212
525515.169,410948.148
532466.094,418500.711
520902.346,454430.466
519629.144,451620.352
517856.193,450886.193
513785.785,454696.844
516922.927,452174.168
519670.148,453116.059
519085.615,456997.985
517183.001,443401.842
514809.077,461216.467
516882.228,466175.412
514298.54,468918.105
515880.315,464972.283
519671.803,463941.062
515611.505,467344.816
518020.014,465925.156
520927.052,466816.908
519251.108,469878.987
524695.676,426908.645
526366.667,428079.684
530435.976,426792.31
529534.994,423959.586
522991.593,424356.541
530389.931,428111.297
529343.786,426238.89
525624.826,425817.505
525873.402,426911.085
520002.888,468176.876
582213.913,425542.365
532824.793,424211.271
529835.486,435590.038
521715.054,448463.793
525987.625,445538.616
523660.25,445887.405
525438.084,446261.54
518575.621,473838.795
518236.832,473103.748
518639.389,471183.041
526567.191,407643.02
526130.728,410156.519
524138.866,407655.485
529265.454,416499.727
526198.843,414642.374
526513.484,416961.277
525659.2,428339.419
523830.578,426178.131
525131.622,426675.782
528681.046,421828.838
525516.201,424419.622
525889.482,422487.068
526916.973,419742.785
567007.387,418449.637
564447.449,428082.107
520784.988,400133.705
562402.061,407104.349
560781.954,415883.267
520880.181,450059.327
557787.569,433743.472
521178.356,442190.422
522960.747,446106.312
522204.098,445361.37
525741.743,458088.172
521145.174,460192.187
520596.631,453389.678
521097.566,443305.164
524375.417,445986.046
555460.067,432510.528
564784.906,428734.647
521903.848,443506.219
524676.781,446945.628
520601.887,441327.698
523343.848,447687.859
524329.73,444854.518
521095.65,448624.053
521458.719,442935.888
520848.383,443249.863
550650.48,409858.108
523220.003,443641.711
524434.523,447957.509
521093.02,441619.756
523907.46,460047.387
522851.542,460242.716
523882.364,458544.585
521387.189,444224.998
521331.508,445030.625
538678.621,395813.658
539678.083,395405.456
535810.403,402144.33
538163.869,407439.481
